gvkey,fyear,datadate,conm,fic,cik,ein
237107,2003,20030630,GIZA GEN CONTRACT,EGY,NA,
237108,2003,20031231,HOUSING & DEV BANK,EGY,NA,
237112,2011,20111231,KAFR EL ZAYAT PESTICIDE,EGY,NA,
237115,2006,20061231,MENA TOURISTIC & REAL ESTATE,EGY,NA,
237116,2004,20040630,MISR DUTY FREE SHOPS CO,EGY,NA,
237117,2011,20111231,AJWA FOR FOOD IND CO EGYPT,EGY,NA,
237118,1999,19991231,GROUPE NEURONES,FRA,NA,
237119,2002,20020630,THE NILE CO FOR PHARMACEUT,EGY,NA,
237136,2000,20001231,OLYMPIC GROUP FINL INVT CO,EGY,NA,
237139,2005,20051231,SOUTH VALLEY CMNT,EGY,NA,
237140,2002,20020630,EL SAEED CONTRACTING,EGY,NA,
237156,1999,19991231,ARBOMEDIA AG,DEU,NA,
237157,2006,20060630,AS ROMA,ITA,NA,
237158,1997,19971231,EVRY ASA,NOR,NA,
237159,1997,19971231,ENITEL ASA,NOR,NA,
237160,1999,19991231,LINEDATA SERVICES,FRA,NA,
237161,1999,19991231,SIEVI CAPITAL OYJ,FIN,NA,
237218,1998,19980930,ADVANCE VISUAL COMMUNICATN,GBR,NA,
237223,1997,19980228,ANGEL MINING PLC,GBR,NA,
237224,1998,19990331,EVERGREEN OIL PLC,GBR,NA,
237225,1998,19990331,ARLINGTON GROUP LTD,BMU,NA,
237226,1998,19990531,ARSENAL HOLDINGS PLC,GBR,NA,
237227,1997,19971231,CONSOLIDATED AFRICA MINING,GBR,NA,
237228,1996,19960731,COMMAND TECHNOLOGY GROUP PLC,GBR,NA,
237232,1999,19991231,BIOFOCUS PLC,GBR,NA,
237235,1999,19991231,BRAKSPEAR (WH) & SONS PLC,GBR,NA,
237236,1998,19980930,ENVMNTL RECYCLING TECH PLC,GBR,NA,
237237,1999,19991231,HARDY AMIES PLC,GBR,NA,
237244,1998,19981231,TIGER RESOURCE PLC,GBR,NA,
237245,1999,19990831,DISPERSE GROUP PLC,GBR,NA,
237246,1998,19980630,EARTHPORT PLC,GBR,NA,
237248,2001,20011231,DANIEL STEWART SECS PLC,GBR,NA,
237252,1999,19991231,EMPRESARIA GROUP PLC,GBR,NA,
237255,1995,19960430,BONHILL GROUP PLC,GBR,NA,
237256,1994,19941231,EXCHEM PLC,GBR,NA,
237257,1999,20000131,FIDELITY SYSTEMS,GBR,NA,
237262,1995,19960331,FORTH TANKERS PLC,GBR,NA,
237264,1999,19991130,RELIANCE GENEMEDIX PLC,GBR,NA,
237265,1997,19980331,GENUS PLC,GBR,NA,
237267,2000,20000930,GLEDHOW INVESTMENT,GBR,NA,
237269,2001,20011231,XENETIC BIOSCIENCES PLC,GBR,1534525,45-2952962
237272,1998,19981231,SYNIGENCE PLC,GBR,NA,
237274,1998,19990131,HENDERSON MORLEY PLC,GBR,NA,
237277,1995,19951031,HYDRO HOTEL EASTBOURNE LTD,GBR,NA,
237283,1999,19991231,IVY MEDICAL CHEMICALS PLC,GBR,NA,
237286,1997,19971231,ANPARIO PLC,GBR,NA,
237289,1998,19980731,LOK N STORE GROUP PLC,GBR,NA,
237290,1999,20000331,MINOAN GROUP,GBR,NA,
237291,1995,19960531,MANCHESTER CITY PLC,GBR,NA,
237296,1995,19960331,MMI GROUP PLC,GBR,NA,
237299,1999,20000430,NMI SECURITY,GBR,NA,
237300,1995,19951231,NEWBURY RACECOURSE,GBR,NA,
237301,1996,19970331,OASIS HEALTHCARE PLC,GBR,NA,
237302,1994,19941231,PARRY PEOPLE MOVERS LTD,GBR,NA,
237317,1999,19991231,AMICREST HOLDINGS PLC,GBR,NA,
237318,1999,20000331,ENABLES IT GROUP PLC,GBR,NA,
237328,1993,19931231,SHENERGY CO LTD,CHN,NA,
237331,2000,20010331,SOUND ALERT TECHNO,GBR,NA,
237333,2000,20010430,SOVEREIGN REVERSIONS PLC,GBR,NA,
237334,1998,19981231,SPECTRUM TECHNOLOGIES PLC,GBR,NA,
237335,1998,19990331,SPORTINGBET PLC,GBR,NA,
237341,1996,19961231,TALBEX GROUP PLC,GBR,NA,
237342,1996,19961231,TEG GROUP (THE),GBR,NA,
237343,1998,19990331,TELECOM PLUS PLC,GBR,NA,
237344,1996,19970331,DANIEL THWAITES PLC,GBR,NA,
237346,1999,19991231,AFRICAN EAGLE RESOURCES PLC,GBR,NA,
237348,2000,20001231,VIATRADE PLC,GBR,NA,
237350,2000,20000630,MERCER RESOURCES PLC,GBR,NA,
237351,1994,19941231,WMC RETAIL PARTNERS PLC,GBR,NA,
237355,1996,19961031,WYNNSTAY GROUP,GBR,NA,
237356,1995,19951231,EDEN RESEARCH PLC,GBR,NA,
237377,1999,19990630,GIJIMA GROUP LTD,ZAF,NA,
237401,1998,19980630,COMAIR LTD,ZAF,NA,
237402,1998,19980630,COMPUTER CONFIGURATIONS HLDG,ZAF,NA,
237404,1999,19990630,DATAFLEX HOLDINGS PLC,GBR,NA,
237417,1998,19990331,EYRETEL PLC,GBR,NA,
237419,1999,19991231,GIVAUDAN SA,CHE,1121631,
237420,2001,20011231,SYSMEDIA GROUP PLC,GBR,NA,
237421,2006,20060630,ENCORE OIL,GBR,NA,
237423,1998,19980630,FRONTRANGE LTD,ZAF,NA,
237426,2001,20010831,CHELVERTON GROWTH TRUST,GBR,NA,
237427,1999,19991231,I-FINANCIAL SERVICES GROUP,GBR,NA,
237430,1998,19981231,SCOTTY GROUP SE,AUT,NA,
237431,2002,20030228,HLTHCARE ENTERPRISE  GRP PLC,GBR,NA,
237456,1994,19941231,SECURED PROPERTY DEVELOPMENT,GBR,NA,
237458,1996,19961231,SYENCE SKIN CARE PLC,GBR,NA,
237461,1996,19960630,TRICORN GROUP PLC,GBR,NA,
237462,1996,19960630,TECHCLEAN PLC,GBR,NA,
237464,1999,19991231,WESTON MEDICAL GROUP PLC,GBR,NA,
237516,2000,20000930,BIOSCIENCE INV TRUST PLC,GBR,NA,
237517,2000,20001231,AMERINDO INTERNET FUND PLC,GBR,NA,
