gvkey,fyear,datadate,conm,fic,cik,ein
1166,1996,19961231,ASM INTERNATIONAL NV,NLD,351483,
1491,1995,19951231,HADERA PAPER LTD,ISR,5337,
1855,2000,20001231,ATLAS CONS MINING & DEV CORP,PHL,1575721,
1932,1990,19901231,BRITISH AMER TOBACCO PLC,GBR,1303523,
1945,1990,19900930,BOC GROUP PLC,GBR,715095,
2000,1990,19901231,BANCO CENTRAL HISPANO,ESP,723041,
2018,1994,19941231,BANK LEUMI LE-ISRAEL BM,ISR,NA,
2162,1991,19911231,BENGUET CORP,PHL,11290,
2338,1990,19901231,REXAM PLC,GBR,13522,
2410,1990,19901231,BP PLC,GBR,313807,
2411,1989,19900331,BT GROUP PLC,GBR,756620,
2414,1990,19901231,BATS-BRITISH AMER TOB (SING),SGP,NA,
2597,1990,19901231,CADBURY PLC,GBR,744473,
2721,1990,19901231,CANON INC,JPN,16988,
3558,1989,19900331,COURTAULDS PLC,GBR,769417,
4245,1989,19900331,ELAN CORP PLC,IRL,737572,
4248,1994,19941231,ELBIT LTD,ISR,724138,
4311,1994,19941231,ELRON ELECTRONIC INDS LTD,ISR,315126,
4312,1990,19901231,ELSCINT LTD,ISR,32522,
4439,1990,19901231,TELEFONAKTIEBOLAGET LM ERICS,SWE,717826,
4925,1990,19901031,FUJIFILM HLDGS CORP,JPN,800365,
5150,1990,19901231,GEVAERT NV,BEL,78318,
5180,1990,19900630,GLAXOSMITHKLINE PLC,GBR,1131399,
5302,1996,19960630,ORMINEX LTD,AUS,312653,
5650,1989,19900331,HITACHI LTD,JPN,47710,
5691,1989,19900331,HONDA MOTOR CO LTD,JPN,715153,
5785,1990,19900930,HUNTINGDON LIFE SCIENCE PLC,GBR,718083,
5832,1997,19971231,IEM-INDUSTRIA ELEC MEXICO SA,MEX,907006,
5837,1994,19941231,IIS-INTELLIGENT INFORMATION,ISR,742358,
5894,1990,19901231,ICI-IMPERIAL CHEM INDS PLC,GBR,49906,
5988,1990,19901231,INSTRUMENTARIUM CORP,FIN,722811,
6197,1989,19900228,ITO-YOKADO CO LTD,JPN,352353,
6203,1997,19971231,ISRAEL DISCOUNT BANK LTD,ISR,824334,
6305,1989,19900331,KLM-ROYAL DUTCH AIRLINES,NLD,56316,
6494,1989,19900331,KOMATSU LTD,JPN,56594,
6506,1989,19900331,KUBOTA CORP,JPN,109821,
6512,1989,19900331,KYOCERA CORP,JPN,57083,
6775,1989,19900331,SANWA BANK LTD,JPN,NA,
6972,1989,19900331,MAKITA CORP,JPN,202467,
7041,1993,19940331,PANSAR BERHAD,MYS,NA,
7114,1989,19900331,PANASONIC CORP,JPN,63271,
7471,1989,19900331,MITSUI & CO LTD,JPN,67099,
7652,1989,19900331,NEC CORP,JPN,72127,
7908,1989,19900331,NIPPON TELEGRAPH & TELEPHONE,JPN,769594,
8020,1990,19901231,NOVO NORDISK A/S,DNK,353278,
8071,1994,19941130,OCE NV,NLD,753058,
8169,1995,19951231,ORBOTECH LTD,ISR,749037,
8303,1997,19971231,PALABORA MINING CO LTD,ZAF,704800,
8544,1990,19901231,PLDT INC,PHL,78150,
8546,1990,19901231,KONINKLIJKE PHILIPS NV,NLD,313216,
8594,1989,19900331,PIONEER CORP,JPN,78706,
9098,1990,19901231,THOMSON REUTERS PLC,GBR,1056084,
9135,1989,19900331,RICOH CO LTD,JPN,723303,
9213,1997,19970930,SPORTECH PLC,GBR,703914,
9267,1990,19901231,ROYAL DUTCH PETROLEUM NV,NLD,85486,
9343,1990,19900930,CORDIANT COMMUNICATIONS GRP,GBR,1010401,
9501,1994,19941231,SUNY CELLULAR COMMUNICATION,ISR,315816,
9655,1990,19901231,SHELL TRANSPORT AND TRADING,GBR,89635,
9818,1989,19900331,SONY CORP,JPN,313838,
10137,1989,19900331,SUMITOMO MITSUI FINANCIAL GR,JPN,1022837,
10275,1989,19900331,TDK CORP,JPN,203383,
10622,1989,19900331,TOSHIBA CORP,JPN,98573,
10755,1995,19951231,TUBOS DE ACERO DE MEXICO,MEX,100084,
10845,1990,19901231,UNILEVER PLC,GBR,217410,
10846,1990,19901231,UNILEVER NV,NLD,110390,
11217,1990,19901231,VOLVO AB,SWE,753762,
11749,1990,19901231,SKF AB,SWE,777504,
11758,1993,19940331,ZCCM INVESTMENT HOLDINGS PLC,ZMB,84274,
12368,1990,19901231,SCA-SVENSKA CELLULOSA AB,SWE,801667,
12383,1990,19901231,NORSK HYDRO ASA,NOR,900268,
12384,1990,19901231,ROYAL DUTCH SHELL PLC,GBR,1306965,
12596,1997,19971231,ARYT INDUSTRIES LTD,ISR,785938,
12616,1989,19900331,WACOAL HOLDINGS CORP,JPN,104040,
12673,1990,19901231,BARCLAYS PLC,GBR,312069,
12754,1995,19960531,ABANO HEALTHCARE GROUP LTD,NZL,907008,
12826,1990,19900930,HANSON PLC,GBR,1265725,
13145,1989,19900331,INTL CONSOL AIRLINES GROUP,ESP,809023,
13294,1990,19901231,NATL WESTMINSTER BANK,GBR,702162,
13312,1989,19900531,BHP GROUP LTD,AUS,811809,
13436,1990,19901231,MONTEDISON SPA - OLD,ITA,814287,
13467,1990,19901231,AVENTIS SA,FRA,807198,
13470,1990,19901231,WATERFORD WEDGWOOD PLC,IRL,793586,
13556,1990,19901231,THALES,FRA,1722401,
13633,1997,19971231,KOOR INDUSTRIES LTD,ISR,791531,
13636,1990,19901231,RAC PLC,GBR,806166,
13681,1989,19900331,BET PLC,GBR,817897,
13683,1991,19911231,TELEFONICA SA,ESP,814052,
13932,1993,19940131,SAMSONITE INTERNATIONAL SA,LUX,1560968,36-3511556
13964,1989,19900430,DIXONS RETAIL PLC,GBR,894649,
14087,1989,19900331,BG GROUP PLC,GBR,805260,
14140,1990,19901231,BANCO SANTANDER SA,ESP,891478,
14222,1990,19901231,AEGIS GROUP PLC,GBR,803521,
14229,1996,19961231,TAT TECHNOLOGIES LTD,ISR,808439,
14242,1990,19900630,ANSELL LTD,AUS,791440,
14261,1990,19901231,SMITHKLINE BEECHAM (UK) PLC,GBR,850695,
14287,1990,19901231,ENGLISH CHINA CLAYS PLC,GBR,815757,
14396,1990,19900930,CARLTON COMMUNICATIONS PLC,GBR,765245,
14447,1990,19901231,LVMH MOET HENNESSY LOUIS V,FRA,824046,
14538,1995,19951231,TEVA PHARMACEUTICALS,ISR,818686,
14605,1990,19901231,WPP PLC,JEY,806968,
14611,1990,19901231,UBM PLC,JEY,813811,
14620,1990,19901231,ELECTROLUX AB,SWE,813810,
14802,1990,19900930,NATIONAL AUSTRALIA BK,AUS,833029,
14894,1989,19900331,VODAFONE GROUP PLC,GBR,839923,
14924,1990,19901231,NAM TAI PROPERTY INC,VGB,829365,
14935,1990,19900630,FAI INSURANCE LTD,AUS,771810,
14977,1990,19900731,COLES GROUP LTD - OLD,AUS,825777,
15103,1989,19900331,CORUS GROUP PLC,GBR,842021,
15105,1989,19900331,CABLE & WIRELESS HKT LTD,HKG,NA,
15172,1990,19901231,FIAT CHRYSLER AUTOMOBILES NV,NLD,1605484,
15179,1990,19900930,EXEL PLC - OLD,GBR,NA,
15181,1990,19901231,BBVA,ESP,842180,
15319,1990,19901231,REPSOL SA,ESP,901576,
15321,1991,19911231,ENDESA SA,ESP,1046649,
15334,1990,19901231,AKZO NOBEL NV,NLD,3124,
15349,1994,19941231,ADT LTD,BMU,776873,
15362,1990,19900930,WESTPAC BANKING,AUS,719245,
15406,1990,19901231,BENETTON GROUP SPA,ITA,849314,
15408,1990,19901231,DE BEERS CONSOLIDATED MINES,ZAF,27539,
15444,1990,19901231,CRH PLC,IRL,849395,
15482,1990,19901231,CREDIT LYONNAIS SA,FRA,NA,
15483,1989,19900331,DAIWA SECURITIES GROUP INC,JPN,1481045,
15484,1989,19900331,MITSUBISHI TRUST & BANKING,JPN,NA,
15496,1990,19901231,GENERALI DEUTSCHLAND HLDG AG,DEU,NA,
15497,1990,19901231,NEUE AARGAUER BANK,CHE,NA,
15498,1990,19901231,HANG SENG BANK LTD,HKG,NA,
15499,1989,19900331,HOKKAIDO TAKUSHOKU BK LTD,JPN,NA,
15504,1990,19901231,ABN-AMRO HOLDINGS NV,NLD,NA,
15505,1989,19900331,AIB GROUP PLC,IRL,1728918,
15508,1989,19900331,ANGLO AMERICAN PLC,GBR,1088370,
15509,1990,19901231,HSBC HLDGS PLC,GBR,1089113,
15510,1989,19900228,ANGLO AMER GOLD INVEST,ZAF,NA,
15511,1989,19900331,HOKUHOKU FINANCIAL GROUP,JPN,NA,
15512,1990,19901231,ASR NEDERLAND NV,NLD,NA,
15513,1990,19901231,ALM BRAND A/S,DNK,NA,
15514,1990,19901231,TARGET REALTY LTD,SGP,NA,
15515,1990,19901231,BANCO ESP DE CREDITO,ESP,NA,
15516,1990,19901231,BANCA COMMERCIALE ITALIANA,ITA,NA,
15518,1989,19900331,IKB DEUTSCHE INDUSTRIEBANK,DEU,NA,
15520,1989,19900131,SIGNET JEWELERS LTD,BMU,832988,
15522,1990,19901231,BANCO POPULAR ESPANOL,ESP,NA,
15523,1990,19901231,BANCO HISPANO AMERICAN,ESP,NA,
15525,1989,19900331,BANK OF TOKYO LTD,JPN,NA,
15526,1990,19901231,BANK FUR TIROL UND VORARLBER,AUT,NA,
15528,1989,19900228,BANK OF SCOTLAND,GBR,NA,
15529,1989,19900331,BANK OF NEW ZEALAND,NZL,NA,
15530,1990,19901231,BANK OF EAST ASIA LTD,HKG,899577,
15531,1990,19901231,BANQUE CANTONALE VAUDOISE,CHE,NA,
15532,1990,19901231,BNP PARIBAS,FRA,310732,
15535,1990,19901231,BASLER KANTONAL BANK,CHE,NA,
15537,1990,19901231,BAYERISCHE HYPO- & VEREINSBK,DEU,925900,
15538,1990,19901231,DNB ASA,NOR,1498632,
15540,1990,19901231,RESOLUTION PLC,GBR,NA,
15544,1990,19901231,AXA KONZERN AG,DEU,NA,
15545,1990,19901231,AVIVA PLC,GBR,1140022,
15546,1990,19901231,CREDIT FONCIER DE FRANCE,FRA,NA,
15547,1990,19901231,NATIXIS,FRA,1274981,
15548,1990,19901231,CREDITANSTALT BANKVER,AUT,NA,
15549,1990,19901231,UNICREDIT SPA,ITA,883769,
15550,1989,19900331,DAI-ICHI KANGYO BANK LTD,JPN,NA,
15551,1989,19900331,AIOI INSURANCE CO LTD,JPN,NA,
15552,1990,19901231,DANSKE BANK AS,DNK,800177,
15553,1989,19900331,NISSAY DOWA GENERAL INSURANC,JPN,NA,
15554,1989,19900331,EDINBURGH INVESTMENT TRUST,GBR,NA,
15555,1990,19901031,FIRST NATIONAL FINANCE CP,GBR,NA,
15556,1989,19900331,FUJI BANK LTD,JPN,NA,
15557,1990,19901231,INTERBANCA SPA,ITA,NA,
15560,1989,19900331,FUJI FIRE & MARINE INSURANCE,JPN,NA,
15561,1990,19901231,GENERAL ACCIDENT PLC - OLD,GBR,NA,
15562,1990,19901231,BANK CLER AG,CHE,NA,
15563,1989,19900331,GERRARD GROUP PLC,GBR,NA,
15565,1990,19901231,GREAT EASTERN HOLDINGS LTD,SGP,NA,
15566,1990,19901231,GUARDIAN ROYAL EXCHANGE PLC,GBR,NA,
15567,1989,19900331,GUNMA BANK LTD,JPN,NA,
15569,1990,19901231,COMPAGNIE DE SUEZ,FRA,NA,
15570,1990,19901231,COMPAGNIE BANCAIRE SA,FRA,NA,
15572,1989,19900331,HAMBROS PLC,GBR,NA,
15573,1990,19900930,BANQUE BRUX LAMBERT,BEL,NA,
15575,1990,19901231,COMMERZBANK,DEU,852933,
15576,1990,19901231,DEUTSCHE BANK AG,DEU,1159508,
15577,1990,19901231,DRESDNER BANK AG,DEU,1036033,
15578,1990,19901231,MANNHEIMER AG HLDG,DEU,NA,
15579,1989,19900331,CONCORDIA FINANCIAL GROUP,JPN,1622143,
15583,1990,19901231,LLOYD'S ABBEY LIFE GROUP,GBR,NA,
15584,1990,19901231,FORTIS (NL) NV,NLD,NA,
15586,1990,19901231,BANCO DI NAPOLI,ITA,NA,
15589,1990,19901231,PARIBAS SA,FRA,NA,
15590,1990,19901231,BASELLANDSCHAFT KANTONL,CHE,NA,
15592,1990,19901231,GENERALE DE BANQUE,BEL,NA,
15593,1990,19900630,MEDIOBANCA SPA,ITA,1379481,
15594,1990,19900930,MEPC PLC,GBR,NA,
15595,1990,19901231,GOTAGRUPPEN,SWE,NA,
15596,1990,19901231,GRAUBUENDNER KANTONALBK,CHE,NA,
15598,1990,19901231,AEGON NV,NLD,769218,
15599,1990,19901231,BAYERISCHE HYPOTHEKEN,DEU,NA,
15600,1990,19901231,JYSKE BANK,DNK,NA,
15601,1989,19900331,ASAHI BANK,JPN,NA,
15602,1989,19900331,LAND SECURITIES GROUP PLC,GBR,1606213,
15603,1990,19901231,LEGAL & GEN GROUP PLC,GBR,917243,
15604,1990,19901231,LIBERTY GROUP LTD,ZAF,NA,
15605,1990,19901231,LLOYDS TSB BANK PLC,GBR,NA,
15608,1990,19901231,POHJOLA GROUP,FIN,NA,
15609,1990,19901231,OVERSEAS UNION BANK LTD,SGP,NA,
15610,1989,19900331,NICHIDO FIRE & MARINE INSUR,JPN,NA,
15613,1989,19900331,NOMURA HOLDINGS INC,JPN,1163653,
15614,1989,19900331,MITSUBISHI UFJ NICOS CO LTD,JPN,NA,
15615,1989,19900331,NIPPON CREDIT BANK LTD,JPN,NA,
15616,1989,19900331,NIKKO CORDIAL CORP,JPN,110082,
15617,1990,19901231,ING GROEP NV,NLD,1039765,
15618,1990,19900930,NEDBANK GROUP LTD,ZAF,930702,
15619,1990,19901231,NATIONALE-NEDERLANDEN,NLD,NA,
15621,1990,19900630,MUTUAL AND FEDERAL INSURANCE,ZAF,NA,
15624,1989,19900331,SAKURA BANK LTD,JPN,NA,
15625,1989,19900331,MITSUBISHI ESTATE CO LTD,JPN,1450204,
15626,1989,19900331,MITSUI TRUST & BANKING,JPN,NA,
15627,1989,19900331,BANK TOKYO-MITSUBISHI,JPN,NA,
15628,1990,19901231,MIDLAND BANK GROUP PLC,GBR,NA,
15629,1990,19901231,LONDON & MANCHESTER GROUP,GBR,NA,
15630,1990,19901231,UNIDANMARK,DNK,NA,
15631,1990,19901231,PROVIDENT FINL GROUP,GBR,NA,
15632,1990,19901231,PUBLIC BANK BHD,MYS,NA,
15634,1990,19900930,ROYAL BANK OF SCOTLAND GROUP,GBR,844150,
15635,1990,19901231,ROYALE BELGE GROUP,BEL,NA,
15636,1990,19901231,ROYAL INSURANCE HLDGS,GBR,NA,
15638,1990,19901231,SCHRODERS PLC,GBR,NA,
15639,1990,19901231,SEDGWICK GROUP PLC,GBR,1040015,
15640,1990,19901231,SKANDIA FORSAEKRING AB,SWE,NA,
15643,1990,19901231,SKOPBANK,FIN,NA,
15644,1990,19901231,SEGRO PLC,GBR,NA,
15645,1990,19901231,STANDARD CHARTERED PLC,GBR,1754878,
15647,1990,19901231,STOREBRAND ASA,NOR,NA,
15649,1995,19951231,HIGHWAY INSURANCE GROUP PLC,GBR,NA,
15650,1989,19900331,SUMITOMO MARINE & FIRE INSUR,JPN,NA,
15651,1989,19900331,SUMITOMO MITSUI TRUST BANK L,JPN,NA,
15652,1990,19901231,SUN HUNG KAI & CO LTD,HKG,NA,
15653,1990,19901231,SUN LIFE CORP PLC,GBR,NA,
15654,1990,19901231,SVENSKA HANDELSBANKEN,SWE,1619488,
15657,1990,19901231,TAT LEE BANK LTD,SGP,NA,
15658,1989,19900331,TOKAI BANK LTD,JPN,NA,
15659,1989,19900331,TOKIO MARINE HOLDINGS INC,JPN,1169486,
15660,1989,19900331,TOYO TRUST & BANKING CO,JPN,NA,
15662,1989,19900331,DAIWA BANK,JPN,NA,
15663,1990,19901231,BNA-BANCA NAZION AGRICOLTURA,ITA,NA,
15664,1990,19901231,RSA INSURANCE GROUP PLC,GBR,1126313,
15667,1990,19900831,PROTORP FORVALTNINGS,SWE,NA,
15668,1989,19900331,ORIX CORP,JPN,1070304,
15669,1989,19900331,MIZUHO TRUST & BANKING CO,JPN,NA,
15670,1989,19900331,YAMAICHI SECURITIES CO LTD,JPN,NA,
15671,1990,19901231,SKANDINAVISKA ENSKILDA BANK,SWE,917311,
15673,1990,19901231,CREDIT SUISSE AG,CHE,NA,
15674,1990,19901231,ZURICH VERSICH (ZURICH GRP),CHE,NA,
15675,1990,19901231,UNION PLC,GBR,NA,
15676,1990,19901231,VEREINS-UND WESTBANK AG,DEU,NA,
15677,1990,19900630,MUNICH RE CO,DEU,NA,
15678,1990,19901231,LUZERNER KANTONALBANK,CHE,NA,
15679,1990,19901231,UNITED OVERSEAS BANK LTD,SGP,867530,
15681,1990,19901231,ERGO VERSICHERUNGSGRUPPE AG,DEU,NA,
15682,1990,19901231,ALLIANZ ELEMENTAR VERSICH-AG,AUT,NA,
15685,1989,19900331,INDUSTRIAL BANK OF JAPAN LTD,JPN,NA,
15686,1990,19901231,MERITA LTD,FIN,NA,
15687,1990,19901231,KANSALLIS-OSAKE-PANKKI,FIN,NA,
15688,1990,19900630,MALAYAN BANKING BHD,MYS,1319023,
15690,1990,19901231,BA HOLDING AG,AUT,NA,
15691,1990,19901231,ELVIA SCHWEIZERISCHE VE,CHE,NA,
15692,1990,19901231,FINEXTEL,FRA,NA,
15693,1990,19901231,HIBERNIAN GROUP PLC,IRL,NA,
15694,1990,19901231,DEUTSCHE CENTRALBODENKREDIT,DEU,NA,
15695,1990,19900930,FIRST NATL BANK OF S AFRICA,ZAF,NA,
15696,1989,19900331,GREAT PORTLAND ESTATES PLC,GBR,NA,
15697,1990,19900630,HENDERSON LAND DEVELOPMT LTD,HKG,811250,
15698,1989,19900331,JAPAN SECURITIES FINANCE CO,JPN,NA,
15699,1990,19901231,INVESTOR AB,SWE,889232,
15700,1990,19901231,SCHWEIZERISCHE VOLKSBANK,CHE,NA,
15701,1991,19911231,LA SUISSE LEBENS-VERSICHERUN,CHE,NA,
15702,1990,19900930,ANGLO IRISH BANK CORP,IRL,NA,
15703,1989,19900331,KBC GROUP NV,BEL,1411133,
15705,1990,19901231,GENERALI (SCHWEIZ) HOLDING,CHE,NA,
15722,1990,19901231,BANCO ATLANTICO,ESP,NA,
15723,1990,19901231,AUSONIA ASSICURAZIONI,ITA,NA,
15724,1990,19901231,ALLIANZ SE,DEU,1127508,
15725,1990,19901231,ALLIANZ LEBENSVERSICHERUNGS,DEU,NA,
15726,1990,19901231,BNL-BANCA NAZIONALE LAVORO,ITA,NA,
15727,1990,19901231,BANCO DI ROMA,ITA,NA,
15728,1990,19901231,BANCO EXTERIOR DE ESPANA SA,ESP,NA,
15730,1990,19901231,OBERBANK AG,AUT,NA,
15734,1990,19901231,BANQUE NATIONALE DE BELGIQUE,BEL,NA,
15736,1989,19900331,SHINSEI BANK LTD,JPN,NA,
15738,1989,19900331,NISSAN FIRE & MARINE INS CO,JPN,NA,
15740,1990,19901231,CREDITO LOMBARDO,ITA,NA,
15741,1990,19901231,DEUTSCHE HYPOTHKBK FRANKFURT,DEU,NA,
15742,1990,19901231,RHB BANK BHD,MYS,NA,
15743,1990,19901231,DBS GROUP HOLDINGS LTD,SGP,882617,
15745,1990,19901231,CREDITO EMILIANO SPA,ITA,NA,
15746,1990,19901231,CREDITO VARESINO,ITA,NA,
15748,1989,19900331,CHIBA BANK LTD,JPN,NA,
15749,1990,19901231,HYSAN DEVELOPMENT CO LTD,HKG,NA,
15750,1989,19900331,HIROSHIMA BANK,JPN,NA,
15753,1990,19901231,OVERSEA CHINESE BANKING,SGP,1448817,
15754,1990,19901231,OVERSEAS UNION TRUST,SGP,NA,
15755,1990,19901231,PROVIDENTIA FORVALT,SWE,NA,
15756,1990,19900630,QBE INSURANCE GROUP LTD,AUS,1392670,
15757,1989,19900331,REALTY DEVELOPMENT CORP,HKG,NA,
15764,1990,19901231,BANCO DI SARDEGNA,ITA,NA,
15766,1990,19901231,HAFNIA HOLDINGS  -A,DNK,NA,
15767,1990,19901231,HAMMERSON PLC,GBR,NA,
15769,1989,19900331,WHEELOCK PROPERTIES LTD,HKG,NA,
15770,1990,19901231,GROUPE VICTOIRE,FRA,NA,
15771,1990,19901031,SELANGOR PROPERTIES BHD,MYS,NA,
15772,1990,19901231,SINGAPORE LAND LTD,SGP,NA,
15773,1990,19901231,SAMPO PLC,FIN,1436778,
15774,1989,19900331,SOUTHERN LIFE ASSOCIATION,ZAF,NA,
15777,1990,19901231,WUERTTEMBERGISCHE AG,DEU,NA,
15778,1990,19901130,BLACKROCK THROGMORTON TR PLC,GBR,NA,
15779,1989,19900331,MS&AD INS GROUP HLDGS INC,JPN,1142206,
15781,1990,19901231,STANDARD BANK GROUP LTD,ZAF,1458478,
15782,1990,19901231,PRUDENTIAL PLC,GBR,1116578,
15783,1990,19900630,RENOUF CORP,NZL,NA,
15784,1990,19901231,SOCIETE GENERALE GROUP,FRA,906433,
15785,1990,19901231,WINTERTHUR SCHWEIZ VERSICHER,CHE,NA,
15786,1990,19901231,RAS HOLDINGS SPA,ITA,NA,
15787,1990,19901231,TORO ASSICURAZIONE,ITA,NA,
15788,1990,19901231,SCHWEIZERISCHER BANKVEREIN,CHE,NA,
15789,1990,19901231,VESTA-GRUPPEN A/S,NOR,NA,
15791,1990,19901231,SOLOTHURNER BANK,CHE,NA,
15797,1990,19901231,EXPORT-INVEST AB,SWE,NA,
15801,1990,19901231,ANSBACHER (HENRY) HLDGS,GBR,NA,
15804,1990,19901231,ASSICURAZIONI GENERALI SPA,ITA,1379235,
15805,1990,19901231,GAM HOLDING LTD,CHE,1438848,
15806,1990,19901231,BAIL EQUIPEMENT,FRA,NA,
15807,1990,19901231,BANCA TOSCANA,ITA,NA,
15808,1990,19901231,BANCO LARIANO,ITA,NA,
15809,1990,19901231,BANCO PASTOR,ESP,NA,
15810,1990,19901231,LEU HOLDING AG,CHE,NA,
15811,1989,19900331,MIZUHO SECURITIES CO LTD,JPN,NA,
15812,1989,19900331,NISSHIN FIRE & MARINE INS CO,JPN,NA,
15814,1990,19901231,UNITED ASSURANCE GROUP PLC,GBR,NA,
15816,1989,19900331,SHIZUOKA BANK LTD,JPN,1668700,
15818,1990,19901231,SOVAC,FRA,NA,
15819,1990,19901231,UNION DE CREDIT POUR LE BATI,FRA,NA,
15820,1989,19900331,WAKO SECURITIES CO LTD,JPN,NA,
15821,1989,19900331,WARBURG SG GROUP,GBR,NA,
15826,1990,19901231,LA FONDIARIA ASSICURAZIONI,ITA,NA,
15827,1990,19901231,FOKUS BANK,NOR,NA,
15829,1996,19961231,EUROHYPO-EUROPAISCHE HYPOTHE,DEU,NA,
15830,1989,19900331,HENDERSON ADMINISTRATN GRP,GBR,NA,
15832,1990,19901231,FISCAMBI HOLDING,ITA,NA,
15833,1990,19900930,COATS GROUP PLC,GBR,NA,
15834,1990,19901231,INTERUNFALL,AUT,NA,
15835,1990,19901231,LA FONDIARIA ASSICUR-OLD,ITA,NA,
15838,1990,19901231,KLEINWORT BENSON GROUP PLC,GBR,NA,
15839,1990,19901231,LLOYD ADRIATICO SPA,ITA,NA,
15840,1990,19900630,GUOCO GROUP LTD,BMU,NA,
15842,1990,19901231,L'ABEILLE CIA ITAL DI ASSIC,ITA,NA,
15844,1990,19901231,BANQUE CANTONALE DU JURA,CHE,NA,
15845,1990,19901231,SOPHIA SA,FRA,NA,
15846,1990,19901231,BANKINTER,ESP,NA,
15861,1990,19901231,OP-RAHOITUSKESKUS,FIN,NA,
15862,1990,19901231,UNIPOL GRUPPO SPA -ADR,ITA,1437670,
15863,1990,19901231,NORDBANKEN,SWE,NA,
15865,1991,19911231,ZUGER KANTONAL BANK,CHE,NA,
15866,1990,19901231,GENERALI HLDG VIENNA AG,AUT,NA,
15867,1990,19901231,CREDIT FONCIER VAUDOIS,CHE,NA,
15869,1990,19901231,MILANO ASSICURAZIONI,ITA,NA,
15870,1990,19900630,BANKORP HOLDINGS LTD,ZAF,NA,
15871,1990,19901231,MORGAN GRENFELL GROUP PLC,GBR,NA,
15875,1989,19900331,NIPPONKOA INSURANCE CO LTD,JPN,NA,
15876,1989,19900331,ORIENT CORP,JPN,NA,
15879,1990,19900630,TOLARAM 2000 LTD,ZAF,NA,
15880,1989,19900331,ROTHSCHILD (J) HLDG PLC,GBR,NA,
15883,1990,19901231,ALANDSBANKEN AB,FIN,NA,
15886,1990,19901231,ATLANTICA INSURANCE,SWE,NA,
15888,1989,19900331,SAITAMA BANK LTD,JPN,NA,
15889,1990,19900930,ANZ-AUSTRALIA & NEW ZEALD BK,AUS,310673,
15890,1990,19901231,ALLEANZA ASSICURAZIONI,ITA,NA,
15891,1990,19901231,BAIL INVESTISSEMENT SA,FRA,NA,
15892,1990,19901231,BANCO URQUIJO SA,ESP,NA,
15893,1990,19901231,BANCO ZARAGOZANO,ESP,NA,
15894,1990,19901231,BK FUR KARNTEN & STEIER,AUT,NA,
15895,1990,19901231,ING BHF-BANK AG,DEU,NA,
15897,1990,19901231,BRIXTON PLC,GBR,NA,
15899,1990,19901231,CABANCO AB,SWE,NA,
15900,1989,19900331,FAY RICHWHITE & CO LTD,NZL,NA,
15901,1989,19900331,CENTRAL FINANCE CO LTD,JPN,NA,
15902,1989,19900331,CHIYODA FIRE & MARINE INSUR,JPN,NA,
15903,1990,19901231,COBEPA,BEL,NA,
15904,1994,19941231,COMAU SPA,ITA,NA,
15905,1990,19901231,COMPAGNIE INDUSTRIELLE,FRA,NA,
15906,1990,19901231,FONSPA-CREDITO FONDIARIO IND,ITA,NA,
15907,1990,19901231,CREDITO COMMERCIAL,ITA,NA,
15908,1990,19901231,EURAZEO,FRA,NA,
15909,1990,19901231,FINARTE PARTECIPAZIONI SPA,ITA,NA,
15910,1989,19900131,THE MERCANTILE INV TRUST PLC,GBR,NA,
15911,1990,19901231,SOCIETE FONCIERE LYONNAISE,FRA,NA,
15912,1990,19901231,GPT GROUP,AUS,NA,
15913,1990,19901231,GOTTHARD BANK,CHE,NA,
15914,1990,19901231,UNIPOLSAI ASSICURAZIONI SPA,ITA,NA,
15916,1990,19901231,TEMPLE BAR INVESTMENT TR PLC,GBR,NA,
15917,1989,19900331,GREYCOAT PLC,GBR,NA,
15918,1989,19900331,HEATH (C E) PLC,GBR,NA,
15919,1989,19900331,HEIWA REAL ESTATE CO LTD,JPN,NA,
15921,1990,19900630,HONG LEONG FINANCIAL GP BHD,MYS,NA,
15922,1990,19901231,HUFVUDSTADEN AB,SWE,NA,
15923,1990,19901231,IMMEUBLES DE PLAINE MONCEAU,FRA,NA,
15925,1990,19901231,JP BANK,SWE,NA,
15926,1989,19900331,JOYO BANK LTD,JPN,NA,
15927,1990,19900630,CITY OF LONDON INVESTMENT TR,GBR,NA,
15929,1990,19901031,LLOYDS BANKING GROUP PLC,GBR,1160106,
15930,1990,19901231,AGF UNION FENIX,ESP,NA,
15931,1989,19900331,VOLKSKAS GROUP LTD,ZAF,NA,
15932,1990,19900630,WESTFIELD CORP,AUS,1378997,
15933,1989,19900331,SOMPO HOLDINGS INC,JPN,NA,
15934,1990,19901231,GENERAL REINSURANCE AG,DEU,NA,
15935,1990,19901231,LIECHTENSTEINISCHE LAND,LIE,NA,
15936,1990,19901231,KLEPIERRE SA,FRA,NA,
15937,1989,19900331,SEVENTY SEVEN BANK LTD,JPN,NA,
15940,1990,19900930,TRICOM PROPERTY FUND,ZAF,NA,
15942,1990,19901231,NEW IRELAND HLDGS PLC,IRL,NA,
15943,1990,19901231,BANCA AGRICOLA MILANESE,ITA,NA,
15945,1990,19901231,FINANZIARIA DI SVILUPPO,ITA,NA,
15947,1996,19961231,KEMPEN & CO MERCHANT BANK,NLD,NA,
16166,1990,19901231,ACQUA PIA ANTICA MARCIA SPA,ITA,NA,
16168,1990,19901231,BANCA MERCANTILE ITALIANA,ITA,NA,
16170,1990,19901231,RETI BANCARIE HOLDING SPA,ITA,NA,
